Date,Close
2/27/2024,57085.37231
2/26/2024,54522.40154
2/25/2024,51733.2366
2/24/2024,51571.10311
2/23/2024,50731.94919
2/22/2024,51304.97436
2/21/2024,51839.18053
2/20/2024,52284.87356
2/19/2024,51779.14406
2/18/2024,52122.54546
2/17/2024,51662.99537
2/16/2024,52160.20283
2/15/2024,51938.55632
2/14/2024,51826.696
2/13/2024,49742.44099
2/12/2024,49958.22422
2/11/2024,48293.91675
2/10/2024,47771.27737
2/9/2024,47147.20031
2/8/2024,45301.56663
2/7/2024,44318.22445
2/6/2024,43084.67186
2/5/2024,42658.66605
2/4/2024,42583.58292
2/3/2024,42992.24963
2/2/2024,43185.85943
2/1/2024,43075.7746
1/31/2024,42582.60639
1/30/2024,42952.60821
1/29/2024,43288.24534
1/28/2024,42035.59437
1/27/2024,42120.05635
1/26/2024,41816.87284
1/25/2024,39933.80775
1/24/2024,40077.07327
1/23/2024,39845.55115
1/22/2024,39507.36882
1/21/2024,41545.78351
1/20/2024,41665.58484
1/19/2024,41618.40737
1/18/2024,41262.05836
1/17/2024,42742.65284
1/16/2024,43154.94423
1/15/2024,42511.96772
1/14/2024,41796.26961
1/13/2024,42842.38219
1/12/2024,42853.16666
1/11/2024,46368.58538
1/10/2024,46627.77911
1/9/2024,46139.73037
1/8/2024,46970.50231
1/7/2024,43943.09723
1/6/2024,43989.19409
1/5/2024,44162.69163
1/4/2024,44179.9217
1/3/2024,42848.17564
1/2/2024,44957.97005
1/1/2024,44167.33021
12/31/2023,42265.18565
12/30/2023,42156.90115
12/29/2023,42099.40281
12/28/2023,42627.85353
12/27/2023,43442.85456
12/26/2023,42520.40151
12/25/2023,43613.14208
12/24/2023,43016.11762
12/23/2023,43739.54214
12/22/2023,43997.90141
12/21/2023,43869.15086
12/20/2023,43652.24867
12/19/2023,42270.52614
12/18/2023,42623.53833
12/17/2023,41364.66592
12/16/2023,42240.11908
12/15/2023,41929.75839
12/14/2023,43023.97197
12/13/2023,42890.74073
12/12/2023,41450.22219
12/11/2023,41243.83331
12/10/2023,43779.69729
12/9/2023,43725.98581
12/8/2023,44166.60064
12/7/2023,43292.66424
12/6/2023,43746.44536
12/5/2023,44080.64795
12/4/2023,41980.09948
12/3/2023,39978.39182
12/2/2023,39476.33328
12/1/2023,38688.74836
11/30/2023,37712.74777
11/29/2023,37858.49405
11/28/2023,37831.08687
11/27/2023,37254.16885
11/26/2023,37479.12229
11/25/2023,37796.79234
11/24/2023,37720.28115
11/23/2023,37289.62066
11/22/2023,37432.33831
11/21/2023,35813.81136
11/20/2023,37476.95586
11/19/2023,37386.54777
11/18/2023,36585.70293
11/17/2023,36596.68192
11/16/2023,36154.76924
11/15/2023,37880.58317
11/14/2023,35537.64052
11/13/2023,36502.35734
11/12/2023,37054.52014
11/11/2023,37138.05054
11/10/2023,37313.96969
11/9/2023,36693.12363
